,SKU,Category,Price,Brand,Model,linkofproduct
35,Philips 80 cm (32 inches) 5800 Series HD Ready LED Smart TV 32PHT5813S/94 (Black),Smart Televisions,"₹ 13,999.00",,,https://www.amazon.in/Philips-inches-Ready-32PHT5813S-94/dp/B07JD3L5HW/ref=sr_1_31?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-31
36,Sony Bravia 138.8 cm (55 inches) 4K Ultra HD Certified Android LED TV 55X7500H (Black) (2020 Model),Smart Televisions,"₹ 82,900.00",,,https://www.amazon.in/Sony-Bravia-Certified-Android-55X7500H/dp/B084T8MD6L/ref=sr_1_32?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-32
37,Hisense 126 cm (50 inches) 4K Ultra HD Smart Certified Android LED TV 50A71F (Black) (2020 Model) | with Dolby Vision and Atmos,Smart Televisions,"₹ 33,990.00",,,https://www.amazon.in/Hisense-inches-Certified-Android-50A71F/dp/B08BXYW13G/ref=sr_1_33?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-33
38,Hisense 108 cm (43 inches) 4K Ultra HD Smart Certified Android LED TV 43A71F (Black) (2020 Model) | with Dolby Vision and Atmos,Smart Televisions,"₹ 27,490.00",,,https://www.amazon.in/Hisense-inches-Certified-Android-43A71F/dp/B08BXXZ86T/ref=sr_1_34?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-34
39,OnePlus 138.8 cm (55 inches) Q1 Series 4K Certified Android QLED TV 55Q1IN Pro (Black) | with Sliding Soundbar,Smart Televisions,"₹ 84,899.00",,,https://www.amazon.in/OnePlus-inches-Certified-Android-55Q1IN/dp/B07W7VQ3Z7/ref=sr_1_35?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-35
40,TCL 108 cm (43 inches)  AI 4K Ultra HD Certified Android Smart LED TV 43P715 (Sliver) (2020 Model),Smart Televisions,"₹ 28,999.00",,,https://www.amazon.in/TCL-inches-Certified-Android-43P715/dp/B08BS949DQ/ref=sr_1_36?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-36
41,TOSHIBA 108 cm (43 inches) Vidaa OS Series Full HD Smart ADS LED TV 43L5050 (Black) (2020 Model),Smart Televisions,"₹ 22,450.00",,,https://www.amazon.in/TOSHIBA-inches-Vidaa-Smart-43L5050/dp/B08BXY12RW/ref=sr_1_37?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-37
42,Sony Bravia 80 cm (32 inches) HD Ready Smart LED TV 32W6100 (Black) (2020 Model),Smart Televisions,"₹ 23,990.00",,,https://www.amazon.in/Sony-Bravia-inches-Ready-32W6100/dp/B084T8MD6P/ref=sr_1_38?dchild=1&fst=as%3Aoff&qid=1604444512&rnid=1389396031&s=electronics&sr=1-38
43,Hisense 108 cm (43 inches) Full HD Smart Certified Android LED TV 43A56E (Black) (2020 Model),Smart Televisions,"₹ 22,480.00",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_electronics_sr_pg2_1?ie=UTF8&adId=A06707762ZSI7DNP45Z4Z&url=%2FHisense-inches-Certified-Android-43A56E%2Fdp%2FB08BXZ5XWX%2Fref%3Dsr_1_39_sspa%3Fdchild%3D1%26fst%3Das%253Aoff%26qid%3D1604444512%26rnid%3D1389396031%26s%3Delectronics%26sr%3D1-39-spons%26psc%3D1&qualifier=1604444522&id=2224435104863147&widgetName=sp_mtf_browse
44,TCL 100 cm (40 inches) Full HD Certified Android Smart LED TV 40S6500FS (Black) (2020 Model),Smart Televisions,"₹ 17,999.00",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_electronics_sr_pg2_1?ie=UTF8&adId=A06063853W2LSF5N2YVLK&url=%2FTCL-100-3cm-inches-Android-Smart%2Fdp%2FB07KCCWJTP%2Fref%3Dsr_1_40_sspa%3Fdchild%3D1%26fst%3Das%253Aoff%26qid%3D1604444512%26rnid%3D1389396031%26s%3Delectronics%26sr%3D1-40-spons%26psc%3D1&qualifier=1604444522&id=2224435104863147&widgetName=sp_mtf_browse
